Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Sort Order,Label Themes,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
3D glasses,,,White,No,490,122,51,White,Colorful,1x1,440.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,1,party,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThreed0,386,4463,FNxEraBTeWRiCvtFu,116F
3D glasses,,,Black,No,490,122,51,Black,Colorful,1x1,440.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,2,party,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThreed1,386,11020,mM9SXPCcGPfPJAmtm,2B0C
animal nose,,,,No,560,140,51,Black,Black,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,,Free,Free,Cute,Cute,1,fairy tale; goth; party,AccessoryMouthInvisibleNose,Yes,For sale,1.5.0,Yes,AccessoryMouthHalloween0,1271,13018,6RJgfodWEebvmWTN9,32DA
ballroom mask,,,White,No,1040,260,51,White,White,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,Prom,Yes,All Year,All Year,,Free,Free,Elegant,Elegant,1,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.9.0,Yes,AccessoryGlassDance0,441,4561,aejA2rbAuzwNyPHFZ,11D1
ballroom mask,,,Black,No,1040,260,51,Black,Black,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,Prom,Yes,All Year,All Year,,Free,Free,Elegant,Elegant,2,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.9.0,Yes,AccessoryGlassDance1,441,11159,bQ6ZyNH4876dxpspJ,2B97
bandage,,,,No,140,35,51,Beige,White,1x1,130.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,All Year,Free,Free,Active,Simple,1,outdoorsy; comfy; sporty,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBandageSkin,503,4677,2qFT5iPkk8bREvpkj,1245
beak,,,,No,490,122,51,Yellow,Yellow,1x1,440.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,All Year,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthBeakYellow,184,3549,T5CpsJi4xBSachNL5,0DDD
birthday shades,,,Red,No,NFS,620,573,Red,Pink,1x1,,,Birthday,,Birthday,Yes,All Year,All Year,,Free,Free,Gorgeous,Gorgeous,1,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday2,415,11218,ojXoAAj8Bs2XgRiWB,2BD2
birthday shades,,,Pink,No,NFS,620,573,Pink,Pink,1x1,,,Birthday,,Birthday,Yes,All Year,All Year,,Free,Free,Gorgeous,Gorgeous,2,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday1,415,11217,g3MPcmAKM4z5h8KYX,2BD1
birthday shades,,,Yellow,No,NFS,620,573,Yellow,Red,1x1,,,Birthday,,Birthday,Yes,All Year,All Year,,Free,Free,Gorgeous,Gorgeous,3,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday0,415,4510,S6CiB9ZvzBTMhEnDz,119E
birthday shades,,,Blue,No,NFS,620,573,Aqua,Green,1x1,,,Birthday,,Birthday,Yes,All Year,All Year,,Free,Free,Gorgeous,Gorgeous,4,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday3,415,11219,Yr9mRJaZM44554oTS,2BD3
bottom-rimmed glasses,,,Black,No,1100,275,51,Black,Black,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,1,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose6,463,11086,eT6KLntq43nCGFvB9,2B4E
bottom-rimmed glasses,,,Red,No,1100,275,51,Red,Red,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,2,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose0,463,4597,ZHqtvcoqqDpJLf9Pc,11F5
bottom-rimmed glasses,,,Pink,No,1100,275,51,Pink,Pink,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,All Year,Free,Free,Simple,Simple,3,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose5,463,11085,zpzD4NjApEyazKyKt,2B4D
bottom-rimmed glasses,,,Yellow,No,1100,275,51,Yellow,Yellow,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,Summer; Winter,Free,Free,Simple,Simple,4,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose4,463,11084,w7bEbAGSQTvur6D6f,2B4C
bottom-rimmed glasses,,,Green,No,1100,275,51,Green,Green,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,5,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose2,463,11082,EtxJZDCgnqjWkETqK,2B4A
bottom-rimmed glasses,,,Blue,No,1100,275,51,Blue,Blue,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,6,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose3,463,11083,LEbiXtkHoiEMEtjWK,2B4B
bottom-rimmed glasses,,,Purple,No,1100,275,51,Purple,Purple,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Simple,7,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose1,463,11081,akRhFD3qeJEPM7WiD,2B49
browline glasses,,,Gray,No,1040,260,51,Gray,Yellow,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Cool,1,everyday; formal; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThurmont3,260,11071,R9rDoMEzPcBw75hLE,2B3F
browline glasses,,,Black,No,1040,260,51,Black,Yellow,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,Summer; Winter,Free,Free,Simple,Cool,2,everyday; formal; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThurmont0,260,4238,gHxascFKEJNrLCtD9,108E
browline glasses,,,Green,No,1040,260,51,Green,Gray,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Cool,3,everyday; formal; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThurmont2,260,11070,f6h8aqEufzizYBWiH,2B3E
browline glasses,,,Brown,No,1040,260,51,Brown,Yellow,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,All Year,Free,Free,Simple,Cool,4,everyday; formal; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThurmont1,260,11069,9iqmzMJiAeQMBN3pk,2B3D
bubblegum,,,White,No,140,35,51,White,White,1x1,130.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Cool,1,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBubblegum4,856,11030,r9N2a2TYhvXBKiihn,2B16
bubblegum,,,Pink,No,140,35,51,Pink,Pink,1x1,130.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Cool,2,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBubblegum0,856,5738,4SLmXuCkS4eBjPbLn,166A
bubblegum,,,Yellow,No,140,35,51,Yellow,Yellow,1x1,130.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,All Year,Free,Free,Simple,Cool,3,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBubblegum2,856,11028,79zoWzHvMBJYcwuAy,2B14
bubblegum,,,Green,No,140,35,51,Green,Green,1x1,130.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Cool,4,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBubblegum3,856,11029,F3PoMop5MGyaxtKjZ,2B15
bubblegum,,,Blue,No,140,35,51,Aqua,Aqua,1x1,130.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Cool,5,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBubblegum1,856,11027,9wWYKTtMdo9pWqfsM,2B13
bunny nose,,,White,No,560,140,51,White,Red,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthRabbit2,466,11024,ci8RKqDmqS5wD3W5k,2B10
bunny nose,,,Pink,No,560,140,51,Pink,Pink,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,2,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthRabbit0,466,4600,bxWYgcp2YKCdKe8Cr,11F8
bunny nose,,,Yellow,No,560,140,51,Yellow,Orange,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,3,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthRabbit1,466,11023,y6Dp62aNQn5ixvkwf,2B0F
butterfly shades,,,Blue,No,1040,260,51,Black,Blue,1x1,940.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,All Year,Free,Free,Cool,Active,1,outdoorsy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassButterfly0,474,4608,WjbaLp9JbBGYRrb6K,1200
butterfly shades,,,Red,No,1040,260,51,Red,Brown,1x1,940.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,Summer,Free,Free,Cool,Active,2,outdoorsy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassButterfly1,474,11503,AZrrNvHghPTHobKL4,2CEF
butterfly shades,,,Brown,No,1040,260,51,Brown,Brown,1x1,940.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Cool,Active,3,outdoorsy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassButterfly2,474,11504,rz3Pgs5XGNiQFa3t4,2CF0
candy-skull mask,,,Orange,No,NFS,800,451,White,Orange,1x1,,,Gulliver,,,,All Year,Autumn,,Free,Free,Gorgeous,Gorgeous,1,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,1.0.0,Yes,AccessoryGlassmouthCatrina1,819,11169,xyQdqFuAkXkNs9qQ5,2BA1
candy-skull mask,,,Blue,No,NFS,800,451,White,Aqua,1x1,,,Gulliver,,,,All Year,Autumn,,Free,Free,Gorgeous,Gorgeous,2,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,1.0.0,Yes,AccessoryGlassmouthCatrina2,819,11170,fev4af8sNdggceyW9,2BA2
candy-skull mask,,,Purple,No,NFS,800,451,White,Purple,1x1,,,Gulliver,,,,All Year,Autumn,,Free,Free,Gorgeous,Gorgeous,3,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,No,Not for sale,1.0.0,Yes,AccessoryGlassmouthCatrina0,819,5666,GT3LzQZKg29riohcP,1622
cat nose,,,White,No,560,140,51,White,Pink,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthCat0,397,4483,45Muns9ig4dqrsFF7,1183
cat nose,,,Navy blue,No,560,140,51,Blue,Black,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,2,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthCat2,397,11022,ywdWXRcwKJNMMxDyj,2B0E
cat nose,,,Brown,No,560,140,51,Brown,Beige,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,3,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthCat1,397,11021,CXDCEFzBdv8DwkCyM,2B0D
cucumber pack,,,,No,490,122,51,Green,Green,1x1,440.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,All Year,Free,Free,Simple,Cute,1,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthCucumber,405,4491,MhbCBrYX5fHxZWDuA,118B
curly mustache,,,,No,700,175,51,Colorful,Colorful,1x1,630.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Simple,Gorgeous,1,fairy tale; formal; party,AccessoryMouthEarJaw,No,For sale,1.0.0,Yes,AccessoryMouthRollingmustacheBlack,498,4672,9tyCrNPeibcu5NLo8,1240
cyber shades,,,Silver,No,1300,325,51,Gray,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,1,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber2,433,11499,AKakpCweRnd5hAsRB,2CEB
cyber shades,,,Black,No,1300,325,51,Black,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,2,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber1,433,11498,67BAc4y8aADafp9Xk,2CEA
cyber shades,,,Red,No,1300,325,51,Red,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,3,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber0,433,4552,3YPuxxPLkzwwNQMQd,11C8
cyber shades,,,Yellow,No,1300,325,51,Yellow,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,4,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber5,433,11502,5pk9ZMDGsEzLqp24L,2CEE
cyber shades,,,Green,No,1300,325,51,Green,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,5,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber4,433,11501,9izTCDGHSpqWrQp6T,2CED
cyber shades,,,Purple,No,1300,325,51,Purple,Black,1x1,1200.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Active,Active,6,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassCyber3,433,11500,y2svNHScnr8cNZe86,2CEC
DAL eye mask,,,,No,NFS,1010,251,Blue,Blue,1x1,,,Dodo Airlines,Received in mail from DAL after 15 flights,,,All Year,All Year,,Free,Free,Simple,Cute,1,comfy; vacation,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassDalmask0,1182,12128,sbkqQrHpJWMEEZLSR,2F60
DAL sunglasses,,,,No,NFS,1010,251,Yellow,Blue,1x1,,,Dodo Airlines,Received in mail from DAL after 75 flights,,,All Year,All Year,,Free,Free,Gorgeous,Simple,1,comfy; vacation,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassDalglass0,1183,12129,zRnkH9B3rYNMLpiTP,2F61
doctor's mask,,,,No,140,35,51,White,White,1x1,130.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Simple,1,everyday; goth; comfy,AccessoryMouthEarJaw,No,For sale,1.0.0,Yes,AccessoryMouthMaskWhite,375,4451,vZDsrDRdgrbbiwi8N,1163
dog nose,,,White,No,560,140,51,White,Black,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthDog0,630,5244,moGRcnkQihHbN89Kc,147C
dog nose,,,Black,No,560,140,51,Black,Black,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,2,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthDog2,630,11026,9JGbmWtDA3rmjf8Kc,2B12
dog nose,,,Beige,No,560,140,51,Orange,Black,1x1,500.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Cute,Cute,3,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthDog1,630,11025,zCQqXy8HLE7rDfrQf,2B11
double nose tissues,,,,No,140,35,51,White,White,1x1,130.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Simple,Simple,1,everyday; fairy tale; outdoorsy; comfy,AccessoryMouth,No,For sale,2.0.0,Yes,AccessoryMouthTissuedouble0,1356,14247,E6i9gRTa99JmeGi7y,37A7
double-bridge glasses,,,Silver,No,1100,275,51,Gray,Gray,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,Summer,Free,Free,Elegant,Simple,1,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassDoublebridge2,277,11077,CLPEzZqr3vut85Ja4,2B45
double-bridge glasses,,,Gold,No,1100,275,51,Yellow,Yellow,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Elegant,Simple,2,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassDoublebridge0,277,4263,8QCnzjXY8KEyqf7Wa,10A7
double-bridge glasses,,,Blue,No,1100,275,51,Blue,Blue,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Free,Elegant,Simple,3,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassDoublebridge3,277,11078,fD5pteAQtC8CMhq2v,2B46
double-bridge glasses,,,Purple,No,1100,275,51,Purple,Purple,1x1,990.0,Poki,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,Winter,Free,Free,Elegant,Simple,4,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassDoublebridge1,277,11076,guPGRuhMyqdWYKh8d,2B44
drinking-straw glasses,,,White,No,560,140,51,White,White,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Simple,1,party,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthStraw3,865,11012,bQ67Xe7cQZ4PcXnNe,2B04
drinking-straw glasses,,,Pink,No,560,140,51,Pink,Pink,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Simple,2,party,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthStraw2,865,11011,b4G7SFYMTs5YWJ4i5,2B03
drinking-straw glasses,,,Green,No,560,140,51,Green,Green,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Simple,3,party,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthStraw0,865,5773,hMiEGoaE2jYb6kY4e,168D
drinking-straw glasses,,,Blue,No,560,140,51,Aqua,Aqua,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Active,Simple,4,party,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthStraw1,865,11010,DNij9RhiMW39MtKWF,2B02
elegant masquerade mask,,,Red,No,1040,260,51,Red,White,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,Prom,Yes,All Year,All Year,,Free,Free,Elegant,Gorgeous,1,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.9.0,Yes,AccessoryGlassMasquerade0,937,6057,48Ao7rDAaG7MPK8wm,17A9
elegant masquerade mask,,,Blue,No,1040,260,51,Blue,White,1x1,940.0,Poki,Able Sisters,Available from Able Sisters shop only,Prom,Yes,All Year,All Year,,Free,Free,Elegant,Gorgeous,2,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.9.0,Yes,AccessoryGlassMasquerade1,937,11175,ZfcPkSRN7NXkrEZH9,2BA7
eye gauze,,,,No,140,35,51,White,White,1x1,130.0,Poki,Able Sisters,,,,All Year,All Year,,Free,Free,Simple,Simple,1,goth; comfy,AccessoryOneEye,Yes,For sale,2.0.0,Yes,AccessoryGlassGauze0,1254,12975,jEvMDCmwP5ebW7gh6,32AF
eye mask,,,Gray,No,560,140,51,Gray,Black,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Simple,1,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassMask2,358,11155,FFAmL82w7xmtQyj49,2B93
eye mask,,,Red,No,560,140,51,Red,Black,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Simple,2,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassMask5,358,11158,DN9e9e3kPAvftJL7X,2B96
eye mask,,,Pink,No,560,140,51,Pink,Black,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Simple,3,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassMask1,358,11154,Ck7jeovxpJEQa9BXB,2B92
eye mask,,,Orange,No,560,140,51,Orange,Black,1x1,500.0,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Free,Simple,Simple,4,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassMask4,358,11157,Gy2FEnpkD9KrRshtd,2B95
