Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID,Internal ID as hex
chocolate hallway wall,,No,,No,2000,500,Brown,Brown,1800.0,Poki,Nook's Cranny,,,,,,,,,Wood,151,facility,music,,Hall Walls,For sale,1.0.0,Yes,RoomTexWallHall01,4807,WZfDqbGb3cACFJWrg,12C7
chocolate herringbone wall,,No,,Yes,NFS,1800,Brown,Brown,,,Crafting,,,,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Wood,103,living room,stylish,,Herringbone,Not for sale,1.0.0,Yes,RoomTexWallHerringbone01,4805,TpZxYjK6NorSqDMwu,12C5
Cinnamoroll wall,,No,,No,3000,750,White,Colorful,,,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,,,,,,,,Cloth,201,fancy,,Cinnamoroll,Sanrio Walls,Not in catalog,1.9.0,Yes,RoomTexWallCinnamon00,10172,XAaoMY22k2S8T26bA,27BC
circuit-board wall,,No,,No,3000,750,Green,Green,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,facility,,,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallGeek00,4821,Ms4DDtXTTGMwXdvvy,12D5
circus wall,,Yes,Synchro,No,3000,750,Colorful,Colorful,,,Saharah's Co-op,,,,,,,,,Stone,451,facility,amusement park,,Stripe Walls,Not for sale,2.0.0,Yes,RoomSpWallSummer00,12721,ixM9xgbth7JXjE8Mp,31B1
cityscape wall,,Yes,,No,3000,750,Black,Black,,,Saharah; Saharah's Co-op,,,,,,,,,Cloth,451,restaurant,expensive,,Special Walls,Not for sale,1.0.0,Yes,RoomSpWallNightView00,5400,9B4hFDTD7xM8goPGs,1518
classic-library wall,,No,,Yes,NFS,1450,Black,Black,,,Crafting,,,,,,,,,Wood,103,den,facility,,Library Walls,Not for sale,1.0.0,Yes,RoomTexWallLibrary00,4837,YbYmnjKXc49cyT6GB,12E5
club wall,,Yes,Synchro,No,3000,750,Black,Black,,,Saharah's Co-op,,,,,,,,,Tile,451,party,concert,,Special Walls,Not for sale,2.0.0,Yes,RoomSpWallClub00,13130,Dsyv8o4HCHf92g9j5,334A
coffee-shop wall,,No,,No,3000,750,Black,Beige,,,Saharah's Co-op,,,,,,,,,Wood,451,café,shop,,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallCoffee00,12908,kzCjxQsgHnvqNcHjY,326C
colorful LEGO® wall,,No,,No,3000,750,Yellow,Yellow,,,Nook Shopping Promotion,,,,,,,,,Plain,201,child's room,,LEGO®,LEGO Walls,Not in catalog,3.0.0,Yes,RoomTexWallLego00,1282,nhwkuBYzogRZ684o9,0502
colorful puzzle wall,,No,,No,1540,385,Colorful,Colorful,1400.0,Poki,Nook's Cranny,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,151,fancy,child's room,,Puzzle Walls,For sale,1.0.0,Yes,RoomTexWallPuzzle01,4887,gpsYwFiGd3coj2eBS,1317
colorful-tile wall,,No,,No,1420,355,Colorful,Colorful,1300.0,Poki,Nook's Cranny,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151,bathroom,public bath,,Tile Walls,For sale,1.0.0,Yes,RoomTexWallTile02,4931,yu9xkApAW49Zhhf9i,1343
common wall,,No,,No,800,200,Beige,Brown,720.0,Poki,Nook's Cranny,,,,Four Pane,Natural Wood,Glass,Curtains,White,Wood,151,living room,school,,Stone Walls,For sale,1.0.0,Yes,RoomTexWallCommon00,4795,nLsLm3SoBAKtH5DmF,12BB
concession-stand wall,,Yes,,No,3000,750,Colorful,Colorful,,,Saharah's Co-op,,,,,,,,,Tile,451,restaurant,facility,,WallFacility,Not for sale,2.0.0,Yes,RoomSpWallStand00,12913,heesFhfzdGF2Yf5sq,3271
concrete wall,,No,,No,940,235,Gray,Gray,850.0,Poki,Nook's Cranny,,,,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,151,workshop,stylish,,Stone Walls,For sale,1.0.0,Yes,RoomTexWallConcrete00,4890,jmixjxLNuH9jRQhyr,131A
construction-site wall,,No,,No,3000,750,Blue,Blue,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,workshop,construction site,,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallBlueSheet00,4843,gDubZLr2wi622j5De,12EB
crepe-design wall,,No,,No,1550,387,White,Colorful,1400.0,Poki,Nook's Cranny,,,,Circle,Grey Wood,Screen,,,Wood,151,harmonious,stylish,,Japanese Style,For sale,1.0.0,Yes,RoomTexWallCrepe00,4841,dBSCiiYyny3ReAbgo,12E9
cute blue wall,,No,,No,1880,470,Blue,White,1700.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Cute Walls,For sale,1.0.0,Yes,RoomTexWallCute02,7217,KFhQNtCs6tx9sj7dy,1C31
cute LEGO® wall,,No,,No,3000,750,Pink,Pink,,,Nook Shopping Promotion,,,,,,,,,Plain,201,child's room,,LEGO®,LEGO Walls,Not in catalog,3.0.0,Yes,RoomTexWallLego02,1291,q9oMMzxz2AEYTuJZ7,050B
cute red wall,,No,,No,1880,470,Red,White,1700.0,Poki,Nook's Cranny,,,,Four Pane,Grey Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Cute Walls,For sale,1.0.0,Yes,RoomTexWallCute01,7216,qYZyrdquxzvHErF5n,1C30
cute white wall,,No,,No,1880,470,White,White,1700.0,Poki,Nook's Cranny,,,,Four Pane,Grey Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Cute Walls,For sale,1.0.0,Yes,RoomTexWallCute00,7215,McKcAab2qjAaviYvA,1C2F
cute yellow wall,,No,,No,1880,470,Yellow,White,1700.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Cute Walls,For sale,1.0.0,Yes,RoomTexWallCute03,7218,6j8PFwiuCwkN7GP5b,1C32
dark wooden-mosaic wall,,No,,Yes,NFS,1800,Black,Black,,,Crafting,,,,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,103,living room,shop,,Wood Plank Walls,Not for sale,1.0.0,Yes,RoomTexWallMixPlankWood01,4860,zZ6oMsuRibBQMkCA7,12FC
dark-chocolate wall,,No,,No,3000,750,Brown,Brown,,,Saharah; Saharah's Co-op,,,,,,,,,Tile,451,fancy,,,Chocolate,Not for sale,1.0.0,Yes,RoomTexWallChocolate00,4932,MWLvj23WuHrEJkMjk,1344
desert vista,,Yes,Synchro,No,3000,750,Beige,Gray,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,ancient,local,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallDesert00,5488,o45mte3eFoaM3ts98,1570
dig-site wall,,No,,No,3000,750,Brown,Beige,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,local,ancient,,Stone Walls,Not for sale,1.0.0,Yes,RoomTexWallStratum00,5222,Rj3X2dJ5WfYu3wpMP,1466
dirt-clod wall,,No,,No,200,50,Beige,Brown,180.0,Poki,Nook's Cranny,,,,Four Pane,Natural Wood,Screen,,,Wood,151,horror,retro,,Stone Walls,For sale,1.0.0,Yes,RoomTexWallOldSoil00,4856,LCJDGnfwuHqkgfxJB,12F8
dojo wall,,No,,No,3000,750,Yellow,Beige,,,Saharah; Saharah's Co-op,,,,,,,,,Wood,451,sports,harmonious,,Wood Walls,Not for sale,1.0.0,Yes,RoomTexWallBaseboards00,5227,sLYrC9TRZJDMCZjM6,146B
dungeon wall,,Yes,,No,3000,750,Black,Gray,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,horror,fantasy,,Special Inorganic Walls,Not for sale,1.0.0,Yes,RoomSpWallJail00,5509,zcHJb34EruL2Szn87,1585
Eeltail Alley wall,,Yes,Synchro,No,3000,750,White,Aqua,,,Nook Shopping Promotion,,,,,,,,,Plain,201,child's room,,Splatoon,Splatoon Walls,Not in catalog,3.0.0,Yes,RoomSpWallSplatoon00,1140,efdsxy8td4sWzMQBw,0474
exquisite wall,,No,,No,3000,750,Brown,White,,,Saharah; Saharah's Co-op,,,,,,,,,Wood,451,harmonious,restaurant,,Asia,Not for sale,1.0.0,Yes,RoomTexWallChina00,4866,TPZRP5K6z87YHs6TC,1302
falling-snow wall,,Yes,Random,Yes,NFS,2700,Brown,Blue,,,Crafting,,snowflakes,Yes,,,,,,Stone,201,freezing cold,living room,,Special Walls,Not for sale,1.6.0,Yes,RoomSpWallSnowy00,13603,EufJsvAbx2PSzr8jz,3523
fireworks-show wall,,Yes,,No,3000,750,Black,Black,,,Nintendo; Saharah; Saharah's Co-op,Mailed to players after the 1.4.0 update in a letter from Nintendo,,,,,,,,Plain,451,outdoors,ocean,,Special Warm Nature Walls,Not for sale,1.4.0,Yes,RoomSpWallFireworks00,13230,poLXZmMTa2bYsAYpe,33AE
forest wall,,No,,Yes,NFS,44000,Black,Black,,,Crafting,,mushrooms,Yes,,,,,,Stone,201,nature,local,mush,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallMushForest00,7187,ogwkK7pveFmag6MXj,1C13
frozen-foods freezer wall,,Yes,,No,3000,750,Colorful,White,,,Saharah's Co-op,,,,,,,,,Stone,451,supermarket,workshop,,WallFacility,Not for sale,2.0.0,Yes,RoomSpWallFrozenFood00,13358,hMLoXRHP2DGtEfoRE,342E
future-tech wall,,Yes,Synchro,No,3000,750,Black,Black,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,ancient,sci-fi,,Special Inorganic Walls,Not for sale,1.0.0,Yes,RoomSpWallTechnology00,5494,JawM9P46KeFwGXdsm,1576
garbage-heap wall,,No,,Yes,NFS,120,Aqua,Gray,,,Crafting,,,,,,,,,Plain,103,workshop,horror,,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallGarbage00,5229,KfoTScCc4NZruFYd8,146D
glowing-moss cave wall,,Yes,,Yes,NFS,2500,Green,Black,,,Crafting,,,,,,,,,Stone,103,ancient,fantasy,,Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallGlowCave00,13881,jMHwiBTGKCvtCF5GN,3639
glowing-moss forest wall,,Yes,,Yes,NFS,1700,Green,Green,,,Crafting,,,,,,,,,Plain,103,ancient,nature,,Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallGlowMoss00,13019,9R9RS7LePEZwAMDrT,32DB
glowing-moss ruins wall,,Yes,Synchro,Yes,NFS,2000,Gray,Green,,,Crafting,,,,,,,,,Stone,103,ancient,fantasy,,Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallGlowRemains00,13874,MpgCdjR8QPeo5TtGg,3632
gold-screen wall,,No,,Yes,NFS,20750,Yellow,Yellow,,,Crafting,,,,,,,,,Wood,103,harmonious,expensive,,Japanese Style,Not for sale,1.0.0,Yes,RoomTexWallFusumaGorgeous00,4820,CucFATJt8EtZmbKFX,12D4
golden wall,,No,,Yes,NFS,40000,Yellow,Brown,,,Crafting,,,,,,,,,Gold,103,expensive,ancient,golden,Asia,Not for sale,1.0.0,Yes,RoomTexWallGold00,4894,uyLj28ErYLEjpYzEF,131E
graveyard wall,,Yes,,No,3000,750,Brown,Blue,,,Saharah's Co-op,,,,,,,,,Plain,451,horror,,,Special Cool Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallCemetery00,5511,aNSptq7wunS7ezfQe,1587
gray diner wall,,No,,No,2420,605,White,Colorful,2200.0,Poki,Nook's Cranny,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151,restaurant,café,diner,Diner Walls,For sale,1.0.0,Yes,RoomTexWallDiner02,7243,eTcpWCGHCzsdGRs7k,1C4B
gray locker-room wall,,No,,No,3000,750,Gray,White,,,Saharah's Co-op,,,,,,,,,Tile,451,school,,,Iron Walls,Not for sale,2.0.0,Yes,RoomTexWallLocker01,13441,DThEXePPszmFcsCpv,3481
gray molded-panel wall,,No,,No,1980,495,Gray,Gray,1800.0,Poki,Nook's Cranny,,,,Sliding Pane,Black Metal,Glass,,,Cloth,151,facility,living room,,Panel Mold Walls,For sale,1.0.0,Yes,RoomTexWallPanelMold02,4872,49g9WCb7cvS8kpqDF,1308
gray shanty wall,,No,,No,620,155,Gray,Gray,560.0,Poki,Nook's Cranny,,,,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,151,workshop,construction site,,Tin Walls,For sale,1.0.0,Yes,RoomTexWallTin00,4923,7uz4sbe5zSfsa8PqK,133B
gray-shelving wall,,No,,No,3000,750,Brown,Gray,,,Saharah's Co-op,,,,,,,,,Wood,451,apparel shop,workshop,,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallShelf01,13442,xujwrSS3Q7YKTRGLA,3482
gray-striped wall,,No,,No,1520,380,Gray,White,1400.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151,fancy,child's room,,Stripe Walls,For sale,1.0.0,Yes,RoomTexWallStripe02,4944,xWHnQXK7duTWZ8GrD,1350
green blossoming wall,,No,,No,1760,440,Green,Brown,1600.0,Poki,Nook's Cranny,,,,Four Pane,Light Wood,Glass,Curtains,Green Checkered,Wood,151,fancy,living room,,Country,For sale,1.0.0,Yes,RoomTexWallCountry03,4903,ZPCtPY4gYYKPn7ipQ,1327
green delicate-blooms wall,,No,,No,1900,475,Green,Black,1700.0,Poki,Nook's Cranny,,,,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,151,expensive,living room,,Manor Walls,For sale,1.0.0,Yes,RoomTexWallManor02,4898,rsBmsGkcmQYWzEivw,1322
green flower-print wall,,No,,No,1780,445,Green,Beige,1600.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,Green,Wood,151,fancy,living room,,Flower Walls,For sale,1.0.0,Yes,RoomTexWallFlower01,4935,oYN6MCEQENZymoKdm,1347
green honeycomb-tile wall,,No,,No,1680,420,Green,Green,1500.0,Poki,Nook's Cranny,,,,Sliding Pane,Grey Metal,Glass,,,Stone,151,bathroom,public bath,,Honeycomb,For sale,1.0.0,Yes,RoomTexWallHoneycomb02,4913,Aws33pgNCEygKeaB4,1331
green intricate wall,,No,,No,1570,392,Green,White,1400.0,Poki,Nook's Cranny,,,,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,151,living room,shop,,Flower Pop Walls,For sale,1.0.0,Yes,RoomTexWallFlowerPop02,6878,hD6uCKiZPpJC6eqom,1ADE
green molded-panel wall,,No,,No,1980,495,Green,White,1800.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Cloth,151,facility,living room,,Panel Mold Walls,For sale,1.0.0,Yes,RoomTexWallPanelMold03,6854,L5cttCqv5dPEpZNwm,1AC6
green painted-wood wall,,No,,No,1650,412,Green,Green,1500.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,,,Wood,151,living room,child's room,,Painted Wood,For sale,1.0.0,Yes,RoomTexWallPaintWood01,4949,wDrM2ExdLkKTKohtr,1355
green playroom wall,,No,,No,2540,635,Green,Green,2300.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Cloth,151,child's room,fancy,kids,Toy Walls,For sale,1.0.0,Yes,RoomTexWallToy02,6866,hrZPmBpEgQ8SZm2oe,1AD2
green wedding wall,,Yes,,No,NFS,750,Green,Aqua,12.0,Heart Crystals,Cyrus,,Wedding Season,Yes,,,,,,Stone,437,party,expensive,wedding,Cloth Walls,Not for sale,1.2.0,Yes,RoomSpWallChurch02,12469,WvGCWHyf2NKwuiZ7Z,30B5
green-paint wall,,No,,No,1600,400,Green,Green,1400.0,Poki,Nook's Cranny,,,,Four Pane,Dark Wood,Glass,,,Stone,151,fancy,living room,,Stucco Walls,For sale,1.0.0,Yes,RoomTexWallStucco04,4812,3ZHQo8e8Wqgw4cpwy,12CC
greenhouse wall,,Yes,,No,3000,750,Aqua,Gray,,,Saharah's Co-op,,,,,,,,,Stone,451,local,facility,,Neta Walls,Not for sale,2.0.0,Yes,RoomSpWallGreenHouse00,13434,hdknyvkKdgrsWfqx5,347A
groovy wall,,No,,No,1280,320,Orange,Orange,1200.0,Poki,Nook's Cranny,,,,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Cloth,151,party,retro,,Cloth Walls,For sale,1.0.0,Yes,RoomTexWallPsyche00,4846,gt5Bv4qHoaZ9QCyj4,12EE
hallway wall,,No,,No,3000,750,Aqua,White,,,Saharah's Co-op,,,,,,,,,Wood,451,school,facility,,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallBoard00,12848,NCBd3TwM7prv5MPfM,3230
harmonious wall,,No,,No,1780,445,Brown,Brown,1600.0,Poki,Nook's Cranny,,,,,,,,,Stone,151,harmonious,shop,,Asia,For sale,1.0.0,Yes,RoomTexWallOriental00,11180,uCzqeq8GvfKRsWRd4,2BAC
heavy-curtain wall,,No,,No,3000,750,Red,Black,,,Saharah; Saharah's Co-op,,,,,,,,,Wood,451,music,party,,Cloth Walls,Not for sale,1.0.0,Yes,RoomTexWallThickCurtain00,4878,mKPtEN398qGZ7Yryu,130E
Hello Kitty wall,,No,,No,3000,750,Red,Blue,,,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,,,,,,,,Cloth,201,fancy,,Hello Kitty,Sanrio Walls,Not in catalog,1.9.0,Yes,RoomTexWallKitty00,10171,annG3qKgFvLLenENq,27BB
honeycomb wall,,No,,Yes,NFS,3600,Yellow,Yellow,,,Crafting,,,,,,,,,Stone,103,fancy,nature,,Tile Walls,Not for sale,1.0.0,Yes,RoomTexWallHoney00,4865,hB3LqvkNidDmzrZ8z,1301
honeycomb-tile wall,,No,,No,1680,420,Brown,Brown,1500.0,Poki,Nook's Cranny,,,,Sliding Pane,Black Metal,Glass,,,Stone,151,bathroom,public bath,,Honeycomb,For sale,1.0.0,Yes,RoomTexWallHoneycomb00,4909,S3bCMm6KGHKF6Ynzg,132D
ice wall,,Yes,,Yes,NFS,8200,Aqua,Aqua,,,Crafting,,snowflakes,Yes,,,,,,Stone,444,freezing cold,fantasy,frozen,Special Walls,Not for sale,1.0.0,Yes,RoomSpWallIce00,5505,d84Y3R4CzrtjCasov,1581
ice-cream-shoppe wall,,No,,No,3000,750,Colorful,Pink,,,Saharah's Co-op,,,,,,,,,Wood,451,café,shop,,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallIcecream00,12909,wFAgqt6mCbvc9qjo4,326D
iceberg wall,,No,,Yes,NFS,4000,Aqua,White,,,Crafting,,snowflakes,Yes,,,,,,Plain,201,freezing cold,,,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallIceFloe00,5662,XqrwARWP9bzsmsjiF,161E
imperial wall,,No,,No,3000,750,Red,Red,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,expensive,harmonious,,Asia,Not for sale,1.0.0,Yes,RoomTexWallDynasty00,5224,YkuzvDjqXDB9CYHhm,1468
industrial wall,,No,,No,3000,750,Black,Black,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,facility,lab,,Iron Walls,Not for sale,1.0.0,Yes,RoomTexWallFactory00,4876,ao5GCHQqnwssDNRGN,130C
ivy wall,,No,,No,3000,750,Brown,Green,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,local,sci-fi,,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallIvy00,4850,t6XmWqkyhZt8Axyeh,12F2
Jingle wall,,Yes,Synchro,Yes,NFS,2500,Green,Colorful,,,Crafting,,ornaments,Yes,,,,,,Wood,201,fancy,party,festive,Special Walls,Not for sale,1.0.0,Yes,RoomSpWallXmas00,5230,ZjBHKK8ckePAaKpxe,146E
jungle wall,,No,,Yes,NFS,1380,Green,Green,,,Crafting,,,,,,,,,Stone,103,ancient,nature,,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallJungle00,5457,pJFdFWHgQRiYAn67i,1551
Kerokerokeroppi wall,,No,,No,3000,750,Green,Green,,,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,,,,,,,,Cloth,201,garden,harmonious,Kerokerokeroppi,Sanrio Walls,Not in catalog,1.9.0,Yes,RoomTexWallKeroppi00,10175,rcc2xxFF6iEZFWCwD,27BF
Kiki & Lala wall,,No,,No,3000,750,Pink,Colorful,,,Nook Shopping Promotion,Scan the associated Sanrio amiibo card,,,,,,,,Cloth,201,fancy,,Kiki & Lala,Sanrio Walls,Not in catalog,1.9.0,Yes,RoomTexWallKikilala00,10176,FEueHTF7kRxdi32bM,27C0
kisses wall,,No,,No,3000,750,Pink,White,,,Saharah; Saharah's Co-op,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,451,party,fancy,,Cloth Walls,Not for sale,1.0.0,Yes,RoomTexWallKiss00,4881,ZeuGwoWptbyaQDsbu,1311
Korok Forest wall,,Yes,,No,3000,750,Green,Green,,,Nook Shopping Promotion,,,,,,,,,Plain,201,fantasy,ancient,The Legend of Zelda,Zelda Walls,Not in catalog,3.0.0,Yes,RoomSpWallZeldaForest00,1057,AWM5mc797FNs8RY3z,0421
laboratory wall,,Yes,Random,No,3000,750,Black,Black,,,Saharah; Saharah's Co-op,,,,,,,,,Tile,451,sci-fi,lab,,Special Inorganic Walls,Not for sale,1.0.0,Yes,RoomSpWallLabo00,5495,kNrqC5Xs7RFybYfkN,1577
