Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID,Internal ID as hex
red two-toned tile wall,,No,,No,1850,462,Red,Red,1700.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Stone,151,bathroom,public bath,,Two-Tone Tile Walls,For sale,1.0.0,Yes,RoomTexWallTwoToneTile03,6856,u9dKmtft32t4cxxiW,1AC8
red-brick wall,,No,,No,1000,250,Red,Brown,900.0,Poki,Nook's Cranny,,,,Four Pane,Dark Wood,Glass,,,Wood,151,city life,amusement park,,Brick,For sale,1.0.0,Yes,RoomTexWallBrick01,4928,Hu3jyiCP23j78PCdX,1340
retro flower-print wall,,No,,No,1660,415,Green,Green,1500.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,151,fancy,living room,,Cloth Walls,For sale,1.0.0,Yes,RoomTexWallKitsch00,4847,MdWwebM7zyeBdykxp,12EF
retro restaurant wall,,No,,No,3000,750,Brown,Beige,,,Saharah's Co-op,,,,,,,,,Wood,451,restaurant,retro,,Brick,Not for sale,2.0.0,Yes,RoomTexWallRestaurant00,12907,HCYc3GcoJqWhMM7nc,326B
rice-paddy wall,,Yes,Synchro,No,3000,750,Aqua,Green,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,nature,local,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallFarm00,5487,TnHvGeJGKioxc95mH,156F
ringside seating,,Yes,,No,3000,750,Black,Black,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,sports,,,Special Walls,Not for sale,1.0.0,Yes,RoomSpWallWrestling00,5512,bg9rQRYAbzeD8rLCw,1588
robo-wall,,No,,No,3000,750,Gray,Gray,,,Saharah's Co-op,,,,,,,,,Tile,451,sci-fi,lab,,Iron Walls,Not for sale,2.0.0,Yes,RoomTexWallRobo00,5455,hJZQA7tyayEK3spG6,154F
rock-climbing wall,,No,,No,3000,750,White,Colorful,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,fitness,sports,,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallBouldering00,4851,CRvqDNWfXzY2ibXvG,12F3
Room Sketch wall,,Yes,,No,NFS,750,White,White,2700.0,Poki,Wardell,,Happy Home Paradise,Yes,,,,,,Plain,151,,,,Special Inorganic Walls,Not for sale,2.0.0,Yes,RoomSpWallSketch00,14896,faa5CutSpc3i8ZSY8,3A30
rope-net wall,,Yes,,Yes,NFS,2200,Brown,Beige,,,Crafting,,,,,,,,,Plain,103,nature,park,,Nature Walls,Not for sale,2.0.0,Yes,RoomSpWallRopenet00,13875,kjhatSss6jpDHcG5j,3633
rose wall,,No,,No,1720,430,Red,White,1500.0,Poki,Nook's Cranny,,,,Arch,Wood,Glass,,,Wood,151,fancy,child's room,,Rose Walls,For sale,1.0.0,Yes,RoomTexWallRose00,4906,azgSWFRcgeuopRWrH,132A
ruins wall,,No,,No,3000,750,Black,Gray,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,horror,ancient,,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallRemains00,5228,ZHiKhqts5brebhYH9,146C
rustic-stone wall,,No,,Yes,NFS,1750,Gray,Gray,,,Crafting,,,,Four Pane,Dark Wood,Glass,,,Stone,103,European,ancient,,Stone Walls,Not for sale,1.0.0,Yes,RoomTexWallStone00,4813,xP7S673w2oNwNHowp,12CD
sakura-wood wall,,No,,Yes,NFS,3200,Pink,Pink,,,Crafting,,cherry-blossom petals,Yes,Four Pane,Grey Wood,Glass,Curtains,Pink,Wood,201,child's room,fancy,cherry blossoms,Wood Walls,Not for sale,1.0.0,Yes,RoomTexWallSolidWood00,4947,jFtMrj8NBC3o4ALzG,1353
sci-fi wall,,Yes,Random,Yes,NFS,7500,Black,Black,,,Crafting,,,,,,,,,Tile,103,space,sci-fi,,Special Inorganic Walls,Not for sale,1.0.0,Yes,RoomSpWallSF00,5510,y48TLWMbXCbrWQp5a,1586
screen wall,,No,,No,3000,750,White,White,2700.0,Poki,Nook's Cranny,,,,,,,,,Wood,151,harmonious,retro,,Japanese Style,For sale,1.0.0,Yes,RoomTexWallFusuma00,4819,wk4ST89FjabXnZPXy,12D3
sea view,,Yes,Synchro,No,3000,750,Aqua,Blue,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,ocean,fantasy,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallSeaView00,5501,fHQn9EzoTxznm7nJ9,157D
security-monitors wall,,Yes,Random,No,3000,750,Black,Gray,,,Saharah; Saharah's Co-op,,,,,,,,,Tile,451,facility,sci-fi,,Special Inorganic Walls,Not for sale,1.0.0,Yes,RoomSpWallMonitor00,5491,N6T3rBvQdYoJoXkrH,1573
sepia puzzle wall,,No,,No,1540,385,Beige,Colorful,1400.0,Poki,Nook's Cranny,,,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,151,fancy,child's room,,Puzzle Walls,For sale,1.0.0,Yes,RoomTexWallPuzzle02,6874,2mtYv7D25wDqMWi6P,1ADA
server-room wall,,Yes,Random,No,3000,750,Black,Black,,,Saharah; Saharah's Co-op,,,,,,,,,Tile,451,facility,sci-fi,,Special Inorganic Walls,Not for sale,1.0.0,Yes,RoomSpWallServer00,5490,ycnhxNaWfeXEq5x7A,1572
shoji screen,,Yes,,No,1880,470,Beige,White,1700.0,Poki,Nook's Cranny,,,,,,,,,Wood,151,harmonious,retro,,Japanese Style,For sale,1.0.0,Yes,RoomSpWallShoji00,4863,5RdqeAZAvdCR5QxqM,12FF
shutter wall,,No,,No,3000,750,White,Gray,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,facility,workshop,,Iron Walls,Not for sale,1.0.0,Yes,RoomTexWallShutter00,4825,4ez74JDpR9kmiroQr,12D9
ski-slope wall,,Yes,Synchro,Yes,NFS,3200,White,White,,,Crafting,,snowflakes,Yes,,,,,,Plain,201,freezing cold,,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallGelande00,5498,hCdDcFDBWEe6pmctp,157A
skull wall,,Yes,LightOff,No,3000,750,Black,Black,2700.0,Poki,Nook's Cranny,,,,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Cloth,151,horror,child's room,,Special Inorganic Walls,For sale,1.0.0,Yes,RoomSpWallSkull00,5520,7GLt2YDxMDyp8EJth,1590
sky wall,,Yes,Synchro,No,3000,750,Aqua,White,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,fancy,,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallCloud00,5504,9YmTrPqSZRCvxRtLi,1580
skyscraper wall,,No,,No,3000,750,Black,Gray,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,expensive,city life,,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallSkyscraper00,4852,Ah36ZRM9QBHBt7HZF,12F4
snowflake wall,,No,,Yes,NFS,4800,Aqua,Aqua,,,Crafting,,snowflakes,Yes,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,201,freezing cold,fancy,,Cloth Walls,Not for sale,1.0.0,Yes,RoomTexWallSnowCrystal00,4855,w5MEjbgphAwDo42mk,12F7
soothing tearoom wall,,No,,No,1750,437,White,Beige,1600.0,Poki,Nook's Cranny,,,,Circle,Natural Wood,Screen,,,Wood,151,harmonious,retro,,Tea Room Walls,For sale,1.0.0,Yes,RoomTexWallMud01,11177,Bke28iGoY3LhDagx4,2BA9
spooky wall,,No,,No,NFS,3000,Orange,Purple,,,All villagers,Trade candy or a lollipop with a villager,Halloween,Yes,Four Pane,Dark Wood,Glass,,,Cloth,231,horror,party,spooky,Stripe Walls,Not for sale,1.5.0,Yes,RoomTexWallHalloween00,13224,hD6Y9zX2se2nKpxWy,33A8
stacked-wood wall,,No,,Yes,NFS,1800,Brown,Brown,,,Crafting,,,,,,,,,Wood,103,workshop,facility,,Wood Walls,Not for sale,1.0.0,Yes,RoomTexWallFireWood00,4844,TZi9bo7GYzJxPJNNe,12EC
stadium wall,,Yes,,No,3000,750,Colorful,Colorful,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,sports,,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallStadium00,5503,oJoGTXMzLnYTpdBaf,157F
standard tearoom wall,,No,,No,1750,437,Green,Green,1600.0,Poki,Nook's Cranny,,,,Circle,Natural Wood,Screen,,,Wood,151,harmonious,,,Tea Room Walls,For sale,1.0.0,Yes,RoomTexWallMud00,5521,4Zv8KLzxrsm6k53pN,1591
starry wall,,Yes,LightOff,Yes,NFS,7500,Gray,White,,,Crafting,,,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,103,fancy,child's room,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallStarPrint00,5528,sjnLXANKDEPMzdGbn,1598
starry-sky wall,,Yes,,Yes,NFS,7500,Blue,Blue,,,Crafting,,,,,,,,,Plain,103,space,fantasy,stars,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallStarSky00,5500,iMQgW8pWYPWbj9Qom,157C
stately wall,,No,,No,2450,612,White,White,2200.0,Poki,Nook's Cranny,,,,,,,,,Stone,151,expensive,European,,Asia,For sale,1.0.0,Yes,RoomTexWallRenaissance00,4861,BdPATBHc8m7YvJzwP,12FD
steampunk wall,,No,,No,3000,750,Brown,Black,,,Saharah's Co-op,,,,,,,,,Stone,451,sci-fi,lab,,Iron Walls,Not for sale,2.0.0,Yes,RoomTexWallSteampunk00,4937,DhX6XzLy3Bg7s4owN,1349
steel-frame wall,,No,,Yes,NFS,6000,Red,Gray,,,Crafting,,,,,,,,,Stone,103,workshop,construction site,,Iron Walls,Not for sale,1.0.0,Yes,RoomTexWallSteel00,4801,K2uSKanJ3r6bQt6MG,12C1
stone wall,,No,,Yes,NFS,1500,Black,Gray,,,Crafting,,,,,,,,,Stone,103,horror,ancient,,Stone Walls,Not for sale,1.0.0,Yes,RoomTexWallBasement00,5216,8hnPcADHfoEpvgSAS,1460
stormy-night wall,,Yes,Random,No,3000,750,Black,Gray,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,horror,,,Special Warm Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallThunder00,5499,Y3sjyMeHtDFcdBfrM,157B
straw wall,,No,,No,3000,750,Beige,Beige,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,heritage,retro,,Wood Walls,Not for sale,1.0.0,Yes,RoomTexWallStraw00,5217,u3orRaGAX2iwdtCLG,1461
strawberry-chocolate wall,,No,,No,3000,750,Pink,Pink,,,Saharah; Saharah's Co-op,,,,,,,,,Tile,451,fancy,,,Chocolate,Not for sale,1.0.0,Yes,RoomTexWallChocolate02,4934,G5QeNa2L26MwuCexA,1346
street-art wall,,No,,No,3000,750,Colorful,Colorful,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,workshop,city life,,Neta Walls,Not for sale,1.0.0,Yes,RoomTexWallStreetArt00,5221,88hCuytidryqimPXr,1465
summit wall,,Yes,Synchro,No,3000,750,Black,White,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,nature,outdoors,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallMountainTop00,5513,hFmF2iNjDvLGfF3Rf,1589
supermarket wall,,No,,No,3000,750,Colorful,Colorful,,,Saharah's Co-op,,,,,,,,,Tile,451,shop,supermarket,,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallSupermarket00,5220,tttMaoMYDWcGjpCSD,1464
tent wall,,No,,No,3000,750,Beige,Beige,,,Saharah's Co-op,,,,,,,,,Cloth,451,outdoors,facility,,Simple Walls,Not for sale,2.0.0,Yes,RoomTexWallGlamping00,13435,T5kHeh2QvsQNQ5avc,347B
train-window wall,,Yes,Synchro,No,3000,750,Beige,Black,,,Saharah's Co-op,,,,,,,,,Tile,451,facility,,,Special Walls,Not for sale,2.0.0,Yes,RoomSpWallTrain00,5496,pkPNcpqbtoB3fNmCT,1578
tree-lined wall,,No,,No,3000,750,Green,Aqua,,,Saharah; Saharah's Co-op,,,,,,,,,Stone,451,city life,local,,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallRoadsideTree00,5456,aLzrLXC7Nyk6h6pDw,1550
tropical vista,,Yes,Synchro,Yes,NFS,6000,Aqua,Beige,,,Crafting,,summer shells,Yes,,,,,,Plain,201,ocean,resort,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallTropical00,5661,sZgNFwEcxpLSAxB4X,161D
Turkey Day wall,,No,,No,NFS,750,Beige,Beige,,,Franklin,Reward for giving Franklin the requested ingredients,Turkey Day,Yes,,,,,,Cloth,351,party,,Turkey Day,Cloth Walls,Not for sale,1.6.0,Yes,RoomTexWallHarvest00,13318,FofB2mpArZFhp3QJC,3406
underwater wall,,Yes,Synchro,Yes,NFS,8600,Blue,Aqua,,,Crafting,,summer shells,Yes,,,,,,Plain,201,ocean,,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallFishTank00,5508,QXNnruZcwJursNmjP,1584
wavy-tile wall,,No,,No,1740,435,Gray,White,1600.0,Poki,Nook's Cranny,,,,,,,,,Stone,151,shop,facility,,Tile Walls,For sale,1.0.0,Yes,RoomTexWallWaveTile00,4832,eLQ2JDZKjrzcnP9gn,12E0
wedding-party wall,,No,,No,NFS,437,White,White,12.0,Heart Crystals,Cyrus,,Wedding Season,Yes,,,,,,Stone,437,party,expensive,wedding,Cloth Walls,Not for sale,1.2.0,Yes,RoomTexWallJuneBride00,12461,xT6kyFtbGPpR8nRM3,30AD
western vista,,Yes,Synchro,No,3000,750,Brown,Beige,,,Saharah; Saharah's Co-op,,,,,,,,,Plain,451,local,ancient,,Special Cool Nature Walls,Not for sale,1.0.0,Yes,RoomSpWallWilderness00,5489,tYFKmm4XzGGGQAcfG,1571
white botanical-tile wall,,No,,No,1240,310,White,White,1100.0,Poki,Nook's Cranny,,,,Single Pane,White Wood,Glass,Slatted Blinds,White Plastic,Stone,151,facility,expensive,,Wood Tile Walls,For sale,1.0.0,Yes,RoomTexWallWoodTile00,4826,QyrvwKiKMmNvm7KxR,12DA
white delicate-blooms wall,,No,,No,1900,475,White,White,1700.0,Poki,Nook's Cranny,,,,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,151,expensive,living room,,Manor Walls,For sale,1.0.0,Yes,RoomTexWallManor00,4891,ZDpt8b6TTGr2hihP5,131B
white European-style wall,,Yes,,No,3000,750,White,Aqua,,,Saharah's Co-op,,,,,,,,,Stone,451,European,restaurant,,Special Walls,Not for sale,2.0.0,Yes,RoomSpWallFrench00,12906,itpyDq45huqbfAcqB,326A
white hallway wall,,No,,No,2000,500,White,White,1800.0,Poki,Nook's Cranny,,,,,,,,,Wood,151,facility,music,,Hall Walls,For sale,1.0.0,Yes,RoomTexWallHall02,6861,HZoM3iHpKrQPBK2Gh,1ACD
white honeycomb-tile wall,,No,,No,1680,420,White,White,1500.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Stone,151,bathroom,public bath,,Honeycomb,For sale,1.0.0,Yes,RoomTexWallHoneycomb03,4914,K8mdzBZZeBLxZEAzZ,1332
white painted-wood wall,,No,,No,1650,412,White,White,1500.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,,,Wood,151,living room,child's room,,Painted Wood,For sale,1.0.0,Yes,RoomTexWallPaintWood03,4803,cN4bnHaw4mruhnMZk,12C3
white perforated-board wall,,No,,No,1180,295,White,White,1100.0,Poki,Nook's Cranny,,,,,,,,,Tile,151,music,facility,,Pegboard Walls,For sale,1.0.0,Yes,RoomTexWallPegboard00,4920,krohWS7x49N2hCKrF,1338
white simple-cloth wall,,No,,No,750,187,White,White,680.0,Poki,Nook's Cranny,,,,Four Pane,Light Wood,Glass,Curtains,White,Wood,151,child's room,living room,simple,Simple Walls,For sale,1.0.0,Yes,RoomTexWallSimple00,4939,z2Zh2fzFwCbvMDm8J,134B
white subway-tile wall,,No,,No,1340,335,White,White,1200.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Stone,151,facility,shop,,Metro Walls,For sale,1.0.0,Yes,RoomTexWallMetro01,4941,ajXm5zy9pwf7XEyHF,134D
white wedding wall,,Yes,,No,NFS,750,White,Pink,12.0,Heart Crystals,Cyrus,,Wedding Season,Yes,,,,,,Stone,437,party,expensive,wedding,Cloth Walls,Not for sale,1.2.0,Yes,RoomSpWallChurch00,12466,mKuptCLkH2MknX2PN,30B2
white window-panel wall,,Yes,,No,2800,700,White,Aqua,2500.0,Poki,Nook's Cranny,,,,,,,,,Stone,151,,,,Special Walls,For sale,2.0.0,Yes,RoomSpWallWindow00,13332,DZQQvsrgHThm5gHZZ,3414
white-brick wall,,No,,No,1000,250,White,White,900.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,,,Wood,151,café,city life,,Brick,For sale,1.0.0,Yes,RoomTexWallBrick00,4927,htjwxjceb2hc6GxjX,133F
white-chocolate wall,,No,,No,3000,750,White,Beige,,,Saharah; Saharah's Co-op,,,,,,,,,Tile,451,fancy,,,Chocolate,Not for sale,1.0.0,Yes,RoomTexWallChocolate01,4933,6qMhFdc2nDSvJSCfT,1345
white-rose wall,,No,,No,1720,430,Pink,White,1500.0,Poki,Nook's Cranny,,,,Arch,Grey Metal,Glass,,,Wood,151,fancy,child's room,,Rose Walls,For sale,1.0.0,Yes,RoomTexWallRose02,6868,yksDvcnnKqM7tnzas,1AD4
white-shelving wall,,No,,No,3000,750,White,White,,,Saharah's Co-op,,,,,,,,,Wood,451,apparel shop,workshop,,WallFacility,Not for sale,2.0.0,Yes,RoomTexWallShelf00,12912,sNhncamcj9AS7Fq2Z,3270
wild-wood wall,,No,,Yes,NFS,1800,Black,Black,,,Crafting,,,,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,103,living room,restaurant,,Wood Walls,Not for sale,1.0.0,Yes,RoomTexWallWildWood00,4858,vhJr7B96SnG3xQQCs,12FA
wooden-knot wall,,No,,Yes,NFS,1800,Brown,Brown,,,Crafting,,,,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Wood,103,living room,child's room,,Wood Walls,Not for sale,1.0.0,Yes,RoomTexWallCedar00,4911,puQYs9hygxfcQWsjt,132F
wooden-mosaic wall,,No,,Yes,NFS,1800,Brown,Brown,,,Crafting,,,,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Stone,103,living room,shop,,Wood Plank Walls,Not for sale,1.0.0,Yes,RoomTexWallMixPlankWood00,4859,RgzoarteJyzD4xSAm,12FB
woodland wall,,No,,Yes,NFS,1380,Green,Green,,,Crafting,,,,,,,,,Stone,103,horror,nature,,Nature Walls,Not for sale,1.0.0,Yes,RoomTexWallJukai00,5223,2B4YTYqnm64vgANY4,1467
yellow flower-print wall,,No,,No,1780,445,Yellow,Yellow,1600.0,Poki,Nook's Cranny,,,,Four Pane,Dark Wood,Glass,Curtains,Yellow,Wood,151,fancy,living room,,Flower Walls,For sale,1.0.0,Yes,RoomTexWallFlower02,6872,esknqzcAenk8uqzYk,1AD8
yellow heart-pattern wall,,No,,No,1280,320,Yellow,Yellow,1200.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151,fancy,child's room,,Heart Walls,For sale,1.0.0,Yes,RoomTexWallHeart02,6871,BqWMEqc2tL8CnPAmd,1AD7
yellow intricate wall,,No,,No,1570,392,Yellow,White,1400.0,Poki,Nook's Cranny,,,,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,151,living room,shop,,Flower Pop Walls,For sale,1.0.0,Yes,RoomTexWallFlowerPop01,4849,FrZas8MjMdjDTPvkX,12F1
yellow playroom wall,,No,,No,2540,635,Yellow,Yellow,2300.0,Poki,Nook's Cranny,,,,Sliding Pane,White Metal,Glass,,,Cloth,151,child's room,fancy,kids,Toy Walls,For sale,1.0.0,Yes,RoomTexWallToy03,6865,mraytANoYBQvA8qAk,1AD1
yellow quilt wall,,No,,No,2150,537,Yellow,White,1900.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,151,fancy,child's room,,Dollhouse Walls,For sale,1.0.0,Yes,RoomTexWallDollhouse02,7276,ysEdh2vpCpg5qBcNg,1C6C
yellow simple-cloth wall,,No,,No,750,187,Beige,Yellow,680.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Curtains,White,Wood,151,child's room,living room,simple,Simple Walls,For sale,1.0.0,Yes,RoomTexWallSimple01,4867,7sSXFNqcYgPMcGY8k,1303
yellow-paint wall,,No,,No,1600,400,Yellow,Yellow,1400.0,Poki,Nook's Cranny,,,,Four Pane,Natural Wood,Glass,,,Stone,151,fancy,child's room,,Stucco Walls,For sale,1.0.0,Yes,RoomTexWallStucco00,4808,TySAA4kKqyvGGeZ5C,12C8
yellow-striped wall,,No,,No,1520,380,Yellow,Beige,1400.0,Poki,Nook's Cranny,,,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151,fancy,child's room,,Stripe Walls,For sale,1.0.0,Yes,RoomTexWallStripe04,4946,N6sef3YhY973LDgdR,1352
zen architecture wall,,No,,No,1880,470,Beige,Beige,1700.0,Poki,Nook's Cranny,,,,Four Pane,Light Wood,Glass,,,Wood,151,,,,Japanese Style,For sale,2.0.0,Yes,RoomTexWallTwotone00,13333,puwFr4WzMEfameWnz,3415
